TIFfilename,CellType,Condition,Nucleus ID,Area (um^2),Perimeter (um),Major,Minor,Estimated Radius (um),Estimated Volume (um^3),Estimated Surface Area (um^2)
,GM12878,EDTA,9,4665,245.021,87.524,67.863,37.208,211053.174,17331.277
,GM12878,EDTA,10,8207,325.207,116.015,90.07,49.359,492802.715,30500.336
,GM12878,EDTA,11,4918,251.512,89.009,70.35,38.285,230653.871,18359.928
,GM12878,EDTA,12,4198,232.077,82.149,65.065,35.38,182094.057,15680.385
,GM12878,EDTA,13,4549,241.844,85.534,67.715,36.827,205355.893,16989.465
,GM12878,EDTA,14,4199,229.771,74.834,71.443,36.287,199993.991,16544.744
,GM12878,EDTA,15,5900,272.913,92.443,81.262,42.495,319630.097,22672.61
,GM12878,EDTA,16,4969,250.674,84.979,74.451,38.98,246633.07,19076.659
,GM12878,EDTA,17,5297,258.879,87.867,76.757,40.23,271056.862,20318.875
,GM12878,EDTA,18,4086,227.452,77.021,67.546,35.352,183995.434,15691.098
,GM12878,EDTA,19,4302,232.742,77.155,70.993,36.524,203607.493,16757.402
,GM12878,EDTA,20,6203,279.347,92.31,85.559,43.905,353817.063,24216.374
112316_EDTA_5.tif,GM12878,EDTA,1,4597,243.704,86.911,67.346,36.934,206393.959,17076.143
,GM12878,EDTA,2,4989,250.842,83.786,75.815,39.236,252162.417,19335.782
,GM12878,EDTA,3,5045,266.32,105.705,60.768,37.874,204382.656,17609.673
,GM12878,EDTA,4,4525,242.879,88.206,65.318,36.474,197043.679,16624.575
,GM12878,EDTA,5,5106,255.97,91.241,71.253,38.958,242546.475,19003.9
,GM12878,EDTA,6,4814,248.745,88.594,69.185,37.827,222037.753,17916.964
,GM12878,EDTA,7,4196,230.745,78.207,68.313,35.806,191095.722,16095.147
,GM12878,EDTA,8,7221,301.882,102.597,89.613,46.971,431395.209,27697.815
,GM12878,EDTA,9,8009,318.212,108.091,94.341,49.462,503719.899,30714.006
,GM12878,EDTA,10,5376,260.7,88.638,77.224,40.514,276772.64,20606.09
,GM12878,EDTA,11,6164,278.766,92.158,85.161,43.747,349955.778,24041.819
,GM12878,EDTA,12,7488,306.815,97.69,97.594,48.813,487186.19,29942.003
,GM12878,EDTA,13,7880,314.812,100.24,100.092,50.071,525821.591,31504.789
,GM12878,EDTA,14,4691,244.332,84.153,70.975,37.684,221962.204,17817.123
,GM12878,EDTA,15,4721,245.146,84.544,71.098,37.79,223767.074,17916.598
,GM12878,EDTA,16,5069,253.793,87.749,73.551,39.142,248552.4,19220.044
,GM12878,EDTA,17,5640,267.664,92.593,77.555,41.284,291605.951,21380.873
,GM12878,EDTA,18,8208,321.31,104.756,99.763,50.714,545904.319,32315.508
,GM12878,EDTA,19,7288,309.069,113.891,81.476,46.141,395865.293,26562.65
,GM12878,EDTA,20,7150,300.095,98.761,92.179,47.187,439387.893,27973.416
112316_Mg_1.tif,GM12878,Mg,1,5971,277.717,99.579,76.347,42.046,303913.741,22121.743
,GM12878,Mg,2,3834,219.894,72.977,66.893,34.461,170980.261,14917.309
,GM12878,Mg,3,3762,218.731,75.551,63.4,33.725,159007.407,14268.91
,GM12878,Mg,4,3728,216.274,69.661,68.139,34.323,169347.909,14803.857
,GM12878,Mg,5,4307,232.996,75.024,73.094,36.869,209875.767,17080.917
,GM12878,Mg,6,3560,212.261,70.955,63.882,33.12,151613.766,13776.684
,GM12878,Mg,7,4103,227.501,76.029,68.712,35.576,187950.325,15896.029
,GM12878,Mg,8,3651,214.335,71.699,64.835,33.562,157808.631,14147.248
,GM12878,Mg,9,6111,277.245,88.226,88.191,44.101,359288.855,24440.681
,GM12878,Mg,10,3402,207.601,70.628,61.329,32.214,139093.648,13027.281
,GM12878,Mg,11,3909,221.461,70.6,70.498,35.266,183720.203,15628.678
,GM12878,Mg,12,4250,231.222,73.619,73.504,36.771,208262.215,16991.223
,GM12878,Mg,13,5956,276.631,97.783,77.553,42.148,307935.093,22254.622
,GM12878,Mg,14,5970,273.727,87.205,87.165,43.589,346915.958,23876.298
,GM12878,Mg,15,3642,213.889,68.1,68.093,34.048,165329.621,14567.485
,GM12878,Mg,16,3723,216.172,68.853,68.847,34.425,170880.116,14891.73
,GM12878,Mg,17,5508,263.677,83.744,83.744,41.872,307510.341,22032.17
